text,label
i need $20000 transferred from my savings to my checking,0
complete a transaction from savings to checking of $20000,0
transfer $20000 from my savings account to checking account,0
take $20000 from savings and put it in checking,0
put $20000 into my checking account from my savings account,0
send 100 dollars between bank of the west and bank of america acccounts,0
send 50 dollars between bank of america and chase accounts,0
send 2000 dollars between chase and rabobank accounts,0
send 1200 dollars between usaa and navy federal accounts,0
send 400 dollars between city bank and usaa accounts,0
take $40 and transfer it to account a from b,0
transfer $40 from account a to b,0
move $40 from account b to account a,0
put $40 from account a to b,0
take $40 from account a and transfer it to account b,0
i need to transfer from this account to that one,0
need to transfer from one account to my other one,0
i would like to transfer from one account to my second one,0
i need to transfer from one account to my second one,0
i have to transfer from one account to my other one,0
send fifty dollars from me to carrie,0
transfer sixty dollars to dad from my biggest accnt,0
send over a hundred dollars from huntington into saving,0
move 57 dollars from saving into mom,0
transfer two hundred dollars between my portfolio and my money market account,0
i need to transfer ten dollars from my bank of america account to my capital one account,0
go ahead and send ten dollars from bank of america to capital one,0
i must transfer ten dollars from my bank of america account to my capital one account,0
i got to transfer ten dollars from my bank of america account to my capital one account,0
i want you to send ten dollars from bank of america to capital one,0
i need you to send ten dollars from bank of america to capital one,0
i have to transfer ten dollars from my bank of america account to my capital one account,0
send ten dollars from bank of america to capital one,0
please send ten dollars from bank of america to capital one,0
make a transfer of $200 from my savings account to my checking account,0
please transfer $250 from checking to savings,0
transfer $500 from my checking to my savings,0
please transfer $100 from my checking to my savings account,0
transfer $500 from my money market savings account to my checking account,0
send money from one account to another,0
transfer 200 dollars from paypal to savings,0
transfer $10 from checking to savings,0
send $100 from paypal to my bank,0
please transfer 100 dollars between my amazon payments and savings accounts,0
i would like to make a transfer,0
i want to transfer funds between accounts,0
send over 50 dollars between my shared and not shared accounts,0
whats the quickest way to money from one account to another,0
what is the process to move money from one account to another,0
i need you to send 500 dollars from my high tier account to my regular checking account,0
can you transfer money from a to b,0
send my money between accounts,0
how can i send money from one account to another,0
i need to move money from one account to another,0
send $20 from debit to steve's account,0
send 20 dollars from savings to checking,0
please transfer my funds,0
please transfer $50 to my checking account from credit,0
go ahead and move $200 from amazon to my bank account,0
help me move my money,0
i need my money to be moved,0
help me move my money please,0
i need to move my money,0
move my money please,0
i would like to transfer $5 from savings to checking,0
transfer $5 from savings to checking,0
can you transfer $5 from savings to checking,0
send $5 from savings to checking,0
please transfer $5 from savings to checking,0
please switch $s checking to mortage,0
please transfer $s from saving to checking,0
could you transfer $x from saving to checking,0
help me transfer $x from credit to debit,0
please transfer $x from checking to saving,0
transfer money to another account,0
requesting money transfer between accounts,0
transfer money from this account to that account,0
can you transfer money from my account,0
money transfer request,0
send 100 dollars from checking to savings,0
transfer 100 dollars checking to savings,0
transfer 100 dollars between checking and savings,0
take 100 dollars from checking and send it to savings,0
move 100 dollars from checking to savings,0
can we wire some money over to the other account i have,0
time to move some cash from one account to another,0
i need to throw some money into that other account,0
let's send some money to another account,0
i want to initiate a transfer from one account to the other,0
transfer money from one place to another,0
move money from one account to another,0
transfer between two accounts,0
make a transfer between accounts,0
send money to another account,0
i need ten dollars sent from b of a to washington mutual,0
transfer fifty dollars between my chase and bank of america account,0
deposit ten bucks from my chase account to my ally account,0
put a hundred dollars in my ally account from bluebird,0
i want seventy bucks transferred from b of a to chase,0
can i initiate a one-time transfer from my savings account to my money market account,0
what steps should i take to improve my credit score,1
give me a recommendation to improve my credit score,1
what can i do to raise my credit score,1
steps to raise my credit score,1
is there a quick way to improve my credit score,1
what are ways to improve my credit,1
how to keep my credit score from going down,1
what are some ways to increase my credit,1
what can i do to keep my score from dropping,1
how do i build my credit score,1
how can i build my credit,1
what are ways to improve my credit score,1
"i want to keep my credit score from going down, how do i do that",1
what can i do to improve my credit score,1
how can i keep my credit score from going down,1
how can i improve my credit score,1
how do i keep my credit score from dropping,1
how to improve my credit score,1
what are some way s i can do to improe my credit score,1
how to keep my credit up,1
how to keep my credit from dropping,1
"i want to keep my credit from going down, how do i do this",1
my credit is going down what should i do,1
how do i maintain my credit score,1
how can i build credit,1
how do i keep good credit,1
what are ways to build credit,1
how to build up my credit score,1
what can i do to keep my credit in good standing,1
how do i keep my credit from lowering,1
give me some ways to build my credit score,1
what can i do to maintain good credit,1
can you tell me some tricks and tips i can use to see an increase in my credit score,1
are there ways for me to make my credit score better,1
i need a list of different methods for building my credit score,1
what are some of the ways that i can see an improvement in my credit score,1
what methods can i use to improve my credit score,1
what are some tips to build my credit score,1
help me build my credit score by showing me some ways on how to,1
show me some ways to build my credit score,1
what are the best ways to build my credit score,1
what are some steps to building my credit score,1
will doing this hurt my credit score,1
tell me all the ways my credit score can get hurt,1
i'm not sure if this will hurt my credit score,1
i want to find out if this will hurt my credit,1
tell me if the following thing can hurt my credit score,1
i want to know if opening a new account will decrease my credit score,1
"i heard that opening a new account will decrease my credit score, is it true",1
is it true that opening a new account can decrease your credit score,1
please confirm that opening a new account can decrease your credit score,1
tell me if opening a new account will decrease my credit score,1
what are some mistakes to avoid so that my credit score stays high,1
how can i protect my credit rating,1
tell me some things i can do to secure my credit rating,1
what are some ways to keep my credit score up,1
give me tips on maintaining good credit,1
what factors can ruin a credit score,1
pull up ways to lower credit score,1
is it possible to lower my credit score by doing this,1
what can harm my credit score,1
are there any new harmful things that could affect my credit score,1
how can i make my credit score better,1
what steps can i take to make sure my credit score doesn't go down,1
how can i ensure my credit score doesn't drop,1
i'd like to improve my credit score,1
what do i do to stop my credit score from going lower,1
how do i make my credit score better,1
how can i go about improving my credit score,1
i'd like to make my credit score better,1
i'd like to find ways to improve my credit score,1
how do i prevent my credit score from lowering,1
how can i stop my credit score from dropping,1
tell me how to improve my credit score,1
ways to build credit,1
tell me ways to improve my credit score,1
how can i hurt my credit score,1
does carrying a balance hurt my credit score,1
would being late hurt my credit,1
does medical debt hurt my credit score,1
would late payments hurt my credit,1
can i hurt my credit score,1
how is the credit score hurt,1
so how can i hurt my credit score,1
will checking your credit lower my score,1
is it true a hard pull hurts my credit score,1
what lowers you credit score,1
can i harm my credit if i miss a car payment,1
will a loan lower my credit score,1
how do i make sure my credit doesn't fall,1
what's the best way to build credit,1
can i improve my credit score,1
what lowers credit score,1
how do i build credit,1
how to improve a credit score,1
how do i improve my credit score,1
how to protect my credit score,1
can i protect my credit score,1
how to keep credit score high,1
do you know if bouncing one check on your checking account can hurt your credit score or not,1
tell me about today weather,2
can my debit card be replaced quickly,2
how long does visa take to get me a new card,2
is my card made immedietly after reporting stolen,2
can i replace a stolen card soon,2
how long to replace a credit card,2
how soon until you send me replacement card,2
when will you mail me a replacement card,2
how long until you send me a replacement card,2
when will you send me a replacement card,2
when can you send me a replacement card,2
how long will delivery of a new card take,2
when can i expect my replacement card,2
how long can i expect to wait for a new card,2
when do they mail me a replacement card,2
when does the replacement card arrive,2
"if my credit card was stolen, how long will it take to replace",2
how long will i have to wait until they replace a stolen credit card,2
how long does it take to replace a stolen credit card,2
how long will a new card take to come in the mail,2
what's the timeline on replacing a stolen credit card,2
"do i get a replacement card mailed, and when",2
what's the transit time on a new card,2
will you notify me when my new card is on the way,2
what is the quickest way to get a new card,2
what is the turn around for a new card,2
how long will it take to get a new card,2
when can i expect my new card,2
my new card will arrive when,2
my new card arrives in the post when,2
how long til my new card arrives by mail,2
my new card will get here in the mail when,2
"if i ordered a new card, how long til it comes",2
when can i expect my new card to get here,2
when will my new card come in the mail,2
when will my new visa get here,2
my card is coming by mail how long will that take,2
how long will it take a new card to come in the mail,2
what date will my card be here,2
how many days do i have to wait for my card,2
when will me new card arrive,2
how long does it take to get a replacement card,2
if i order a new card how long would it take,2
if i need a new card mailed how long will it take,2
how long will it be for me to get a new card,2
how long will a new card take to reach me,2
time to get replacement credit card for stolen one,2
how long it takes to get a new replacement card,2
mailing to me for a new card takes how long,2
mailing a new card to me takes how long,2
"for anew card to be mailed to me, how long does it take",2
it takes how long to mail me a new card,2
a new cards takes how long to mail to me,2
average time to receive new card,2
how long to get a new credit card,2
how many days before my credit card arrives,2
will my credit card be mailed soon,2
when will i get my new credit card,2
my credit card was stolen; how long before a new one will arrive,2
my credit card has been stolen and i want to know how long it will be before i can get a new one,2
how long will it take for me to get a new credit card to replace the one that was stolen,2
my credit card got stolen and i need to know how long it will be before a new on arrives,2
how many days will it take to get a new credit card to replace the one stolen from me,2
what's the expected time to have a stolen credit card replaced,2
how long does it take to replace a lost card,2
how long should i expect to wait for my new card in the mail,2
how long should i wait to get my new card when my old one was stolen,2
what's the typical lag time in receiving a new credit card when your previous one was lost,2
